Value,Holiday,time,mdate,day,week,month,year
3.0,,20,20,1,4,1,2015
1.0,,21,20,1,4,1,2015
0.0,,22,20,1,4,1,2015
0.0,,23,20,1,4,1,2015
0.0,,0,21,2,4,1,2015
0.0,,1,21,2,4,1,2015
0.0,,2,21,2,4,1,2015
0.0,,3,21,2,4,1,2015
0.0,,4,21,2,4,1,2015
0.0,,5,21,2,4,1,2015
0.0,,6,21,2,4,1,2015
0.0,,7,21,2,4,1,2015
0.0,,8,21,2,4,1,2015
0.0,,9,21,2,4,1,2015
9.0,,10,21,2,4,1,2015
10.0,,11,21,2,4,1,2015
11.0,,12,21,2,4,1,2015
14.0,,13,21,2,4,1,2015
15.0,,14,21,2,4,1,2015
7.0,,15,21,2,4,1,2015
13.0,,16,21,2,4,1,2015
8.0,,17,21,2,4,1,2015
12.0,,18,21,2,4,1,2015
7.0,,19,21,2,4,1,2015
5.0,,20,21,2,4,1,2015
0.0,,21,21,2,4,1,2015
1.0,,22,21,2,4,1,2015
0.0,,23,21,2,4,1,2015
0.0,,0,22,3,4,1,2015
0.0,,1,22,3,4,1,2015
0.0,,2,22,3,4,1,2015
0.0,,3,22,3,4,1,2015
0.0,,4,22,3,4,1,2015
0.0,,5,22,3,4,1,2015
0.0,,6,22,3,4,1,2015
0.0,,7,22,3,4,1,2015
0.0,,8,22,3,4,1,2015
0.0,,9,22,3,4,1,2015
5.0,,10,22,3,4,1,2015
15.0,,11,22,3,4,1,2015
11.0,,12,22,3,4,1,2015
13.0,,13,22,3,4,1,2015
11.0,,14,22,3,4,1,2015
20.0,,15,22,3,4,1,2015
12.0,,16,22,3,4,1,2015
11.0,,17,22,3,4,1,2015
7.0,,18,22,3,4,1,2015
7.0,,19,22,3,4,1,2015
4.0,,20,22,3,4,1,2015
2.0,,21,22,3,4,1,2015
0.0,,22,22,3,4,1,2015
0.0,,23,22,3,4,1,2015
0.0,,0,23,4,4,1,2015
0.0,,1,23,4,4,1,2015
0.0,,2,23,4,4,1,2015
0.0,,3,23,4,4,1,2015
0.0,,4,23,4,4,1,2015
0.0,,5,23,4,4,1,2015
0.0,,6,23,4,4,1,2015
0.0,,7,23,4,4,1,2015
2.0,,8,23,4,4,1,2015
1.0,,9,23,4,4,1,2015
7.0,,10,23,4,4,1,2015
18.0,,11,23,4,4,1,2015
13.0,,12,23,4,4,1,2015
17.0,,13,23,4,4,1,2015
21.0,,14,23,4,4,1,2015
14.0,,15,23,4,4,1,2015
17.0,,16,23,4,4,1,2015
17.0,,17,23,4,4,1,2015
21.0,,18,23,4,4,1,2015
17.0,,19,23,4,4,1,2015
16.0,,20,23,4,4,1,2015
0.0,,21,23,4,4,1,2015
1.0,,22,23,4,4,1,2015
0.0,,23,23,4,4,1,2015
0.0,,0,24,5,4,1,2015
0.0,,1,24,5,4,1,2015
0.0,,2,24,5,4,1,2015
0.0,,3,24,5,4,1,2015
0.0,,4,24,5,4,1,2015
0.0,,5,24,5,4,1,2015
0.0,,6,24,5,4,1,2015
0.0,,7,24,5,4,1,2015
0.0,,8,24,5,4,1,2015
1.0,,9,24,5,4,1,2015
7.0,,10,24,5,4,1,2015
17.0,,11,24,5,4,1,2015
29.0,,12,24,5,4,1,2015
29.0,,13,24,5,4,1,2015
40.0,,14,24,5,4,1,2015
38.0,,15,24,5,4,1,2015
37.0,,16,24,5,4,1,2015
32.0,,17,24,5,4,1,2015
17.0,,18,24,5,4,1,2015
19.0,,19,24,5,4,1,2015
7.0,,20,24,5,4,1,2015
1.0,,21,24,5,4,1,2015
1.0,,22,24,5,4,1,2015
0.0,,23,24,5,4,1,2015
0.0,,0,25,6,4,1,2015
0.0,,1,25,6,4,1,2015
0.0,,2,25,6,4,1,2015
0.0,,3,25,6,4,1,2015
0.0,,4,25,6,4,1,2015
0.0,,5,25,6,4,1,2015
0.0,,6,25,6,4,1,2015
0.0,,7,25,6,4,1,2015
0.0,,8,25,6,4,1,2015
1.0,,9,25,6,4,1,2015
1.0,,10,25,6,4,1,2015
6.0,,11,25,6,4,1,2015
33.0,,12,25,6,4,1,2015
33.0,,13,25,6,4,1,2015
43.0,,14,25,6,4,1,2015
36.0,,15,25,6,4,1,2015
31.0,,16,25,6,4,1,2015
22.0,,17,25,6,4,1,2015
5.0,,18,25,6,4,1,2015
1.0,,19,25,6,4,1,2015
1.0,,20,25,6,4,1,2015
0.0,,21,25,6,4,1,2015
0.0,,22,25,6,4,1,2015
0.0,,23,25,6,4,1,2015
0.0,,0,26,0,5,1,2015
0.0,,1,26,0,5,1,2015
0.0,,2,26,0,5,1,2015
0.0,,3,26,0,5,1,2015
0.0,,4,26,0,5,1,2015
0.0,,5,26,0,5,1,2015
0.0,,6,26,0,5,1,2015
0.0,,7,26,0,5,1,2015
0.0,,8,26,0,5,1,2015
0.0,,9,26,0,5,1,2015
1.0,,10,26,0,5,1,2015
10.0,,11,26,0,5,1,2015
18.0,,12,26,0,5,1,2015
17.0,,13,26,0,5,1,2015
25.0,,14,26,0,5,1,2015
14.0,,15,26,0,5,1,2015
14.0,,16,26,0,5,1,2015
16.0,,17,26,0,5,1,2015
20.0,,18,26,0,5,1,2015
27.0,,19,26,0,5,1,2015
6.0,,20,26,0,5,1,2015
1.0,,21,26,0,5,1,2015
1.0,,22,26,0,5,1,2015
0.0,,23,26,0,5,1,2015
0.0,,0,27,1,5,1,2015
0.0,,1,27,1,5,1,2015
0.0,,2,27,1,5,1,2015
0.0,,3,27,1,5,1,2015
0.0,,4,27,1,5,1,2015
0.0,,5,27,1,5,1,2015
0.0,,6,27,1,5,1,2015
0.0,,7,27,1,5,1,2015
0.0,,8,27,1,5,1,2015
1.0,,9,27,1,5,1,2015
2.0,,10,27,1,5,1,2015
11.0,,11,27,1,5,1,2015
11.0,,12,27,1,5,1,2015
14.0,,13,27,1,5,1,2015
11.0,,14,27,1,5,1,2015
9.0,,15,27,1,5,1,2015
10.0,,16,27,1,5,1,2015
6.0,,17,27,1,5,1,2015
7.0,,18,27,1,5,1,2015
4.0,,19,27,1,5,1,2015
3.0,,20,27,1,5,1,2015
2.0,,21,27,1,5,1,2015
0.0,,22,27,1,5,1,2015
0.0,,23,27,1,5,1,2015
0.0,,0,28,2,5,1,2015
0.0,,1,28,2,5,1,2015
0.0,,2,28,2,5,1,2015
0.0,,3,28,2,5,1,2015
0.0,,4,28,2,5,1,2015
0.0,,5,28,2,5,1,2015
0.0,,6,28,2,5,1,2015
0.0,,7,28,2,5,1,2015
0.0,,8,28,2,5,1,2015
0.0,,9,28,2,5,1,2015
5.0,,10,28,2,5,1,2015
13.0,,11,28,2,5,1,2015
14.0,,12,28,2,5,1,2015
12.0,,13,28,2,5,1,2015
11.0,,14,28,2,5,1,2015
10.0,,15,28,2,5,1,2015
5.0,,16,28,2,5,1,2015
16.0,,17,28,2,5,1,2015
8.0,,18,28,2,5,1,2015
8.0,,19,28,2,5,1,2015
3.0,,20,28,2,5,1,2015
0.0,,21,28,2,5,1,2015
1.0,,22,28,2,5,1,2015
0.0,,23,28,2,5,1,2015
0.0,,0,29,3,5,1,2015
0.0,,1,29,3,5,1,2015
0.0,,2,29,3,5,1,2015
0.0,,3,29,3,5,1,2015
0.0,,4,29,3,5,1,2015
0.0,,5,29,3,5,1,2015
0.0,,6,29,3,5,1,2015
0.0,,7,29,3,5,1,2015
0.0,,8,29,3,5,1,2015
0.0,,9,29,3,5,1,2015
5.0,,10,29,3,5,1,2015
8.0,,11,29,3,5,1,2015
11.0,,12,29,3,5,1,2015
10.0,,13,29,3,5,1,2015
10.0,,14,29,3,5,1,2015
13.0,,15,29,3,5,1,2015
12.0,,16,29,3,5,1,2015
9.0,,17,29,3,5,1,2015
8.0,,18,29,3,5,1,2015
5.0,,19,29,3,5,1,2015
5.0,,20,29,3,5,1,2015
1.0,,21,29,3,5,1,2015
0.0,,22,29,3,5,1,2015
0.0,,23,29,3,5,1,2015
0.0,,0,30,4,5,1,2015
0.0,,1,30,4,5,1,2015
0.0,,2,30,4,5,1,2015
0.0,,3,30,4,5,1,2015
0.0,,4,30,4,5,1,2015
0.0,,5,30,4,5,1,2015
0.0,,6,30,4,5,1,2015
0.0,,7,30,4,5,1,2015
0.0,,8,30,4,5,1,2015
1.0,,9,30,4,5,1,2015
8.0,,10,30,4,5,1,2015
10.0,,11,30,4,5,1,2015
18.0,,12,30,4,5,1,2015
18.0,,13,30,4,5,1,2015
18.0,,14,30,4,5,1,2015
10.0,,15,30,4,5,1,2015
15.0,,16,30,4,5,1,2015
15.0,,17,30,4,5,1,2015
16.0,,18,30,4,5,1,2015
12.0,,19,30,4,5,1,2015
8.0,,20,30,4,5,1,2015
0.0,,21,30,4,5,1,2015
1.0,,22,30,4,5,1,2015
0.0,,23,30,4,5,1,2015
0.0,,0,31,5,5,1,2015
0.0,,1,31,5,5,1,2015
0.0,,2,31,5,5,1,2015
0.0,,3,31,5,5,1,2015
0.0,,4,31,5,5,1,2015
0.0,,5,31,5,5,1,2015
